"gene","rloop_density","rloop_rank","rloop_empirical_p","rloop_z"
"ACPT",22.92,103,0.00382700453295683,2.66696303144821
"PGP",22.92,104,0.00386415991677194,2.66371417139655
"EIF5A",22.8,105,0.00390131530058706,2.66049318610828
"JMJD4",22.64,106,0.00393847068440217,2.65729956847347
"DNLZ",22.57,107,0.00397562606821728,2.65413282531178
"RAD9A",22.52,108,0.0040127814520324,2.65099247686341
"LENG9",22.28,109,0.00404993683584751,2.64787805630303
"LOC101928837",22.19,110,0.00408709221966263,2.64478910927575
"CORO1B",22.11,111,0.00412424760347774,2.64172519345372
"SNORD66",21.92,112,0.00416140298729286,2.63868587811235
"MRPL28",21.86,113,0.00419855837110797,2.63567074372509
"KREMEN2",21.85,114,0.00423571375492309,2.63267938157588
"MIR106B",21.83,115,0.0042728691387382,2.62971139338823
"MIR4321",21.81,116,0.00431002452255332,2.62676639097014
"PRR7",21.81,117,0.00434717990636843,2.62384399587408
"CDK10",21.53,118,0.00438433529018355,2.62094383907122
"MAFK",21.51,119,0.00442149067399866,2.61806556063922
"MIR4467",21.5,120,0.00445864605781378,2.61520880946287
"C9ORF172",21.43,121,0.00449580144162889,2.61237324294705
"PFDN6",21.35,122,0.00453295682544401,2.6095585267413
"NDUFAF8",21.32,123,0.00457011220925912,2.60676433447541
"HIST2H2AA3",21.31,124,0.00460726759307424,2.60399034750571
"THBS3",21.19,125,0.00464442297688935,2.60123625467127
"TNFRSF6B",21.07,126,0.00468157836070447,2.59850175205976
"MYL6",21.03,127,0.00471873374451958,2.59578654278239
"SNORD37",21.03,128,0.0047558891283347,2.59309033675758
"DMPK",21.01,129,0.00479304451214981,2.59041285050292
"RPL36",20.89,130,0.00483019989596492,2.58775380693507
"MAPK15",20.66,131,0.00486735527978004,2.58511293517716
"TPSAB1",20.61,132,0.00490451066359516,2.58248997037347
"MAP2K7",20.56,133,0.00494166604741027,2.57988465351099
"TGFBR3L",20.49,134,0.00497882143122538,2.57729673124755
"TMEM120A",20.44,135,0.0050159768150405,2.57472595574628
"PABPN1L",20.27,136,0.00505313219885561,2.57217208451605
"TPSB2",20.24,137,0.00509028758267073,2.5696348802577
"SNORD23",20.19,138,0.00512744296648584,2.56711411071582
"BRICD5",20.14,139,0.00516459835030096,2.56460954853571
"EEF2",20.13,140,0.00520175373411607,2.56212097112546
"MIDN",20.13,141,0.00523890911793119,2.55964816052287
"C21ORF2",20.03,142,0.0052760645017463,2.55719090326703
"SPATA2L",20.02,143,0.00531321988556142,2.5547489902742
"MFSD10",19.94,144,0.00535037526937653,2.55232221671815
"MIR636",19.93,145,0.00538753065319165,2.54991038191447
"CTSD",19.91,146,0.00542468603700676,2.54751328920878
"FAM173A",19.86,147,0.00546184142082188,2.54513074586876
"SRPK3",19.84,148,0.00549899680463699,2.54276256297981
"DGAT1",19.81,149,0.00553615218845211,2.54040855534402
"WDR38",19.75,150,0.00557330757226722,2.53806854138273
"HSPB1",19.69,151,0.00561046295608234,2.53574234304197
"KAT5",19.69,152,0.00564761833989745,2.53342978570126
"LOC105369635",19.65,153,0.00568477372371257,2.53113069808516
"KRT18",19.63,154,0.00572192910752768,2.52884491217777
"ZNF513",19.62,155,0.0057590844913428,2.52657226313991
"ADM5",19.55,156,0.00579623987515791,2.52431258922891
"RCE1",19.54,157,0.00583339525897303,2.522065731721
"C7ORF43",19.51,158,0.00587055064278814,2.51983153483603
"MIR661",19.51,159,0.00590770602660325,2.51760984566461
"LOC100507507",19.49,160,0.00594486141041837,2.51540051409745
"FOSB",19.47,161,0.00598201679423348,2.51320339275691
"PAQR4",19.36,162,0.0060191721780486,2.51101833693058
"CIRBP-AS1",19.35,163,0.00605632756186371,2.50884520450696
"RRP7A",19.33,164,0.00609348294567883,2.50668385591299
"SNORD105B",19.31,165,0.00613063832949394,2.50453415405351
"MIR6782",19.3,166,0.00616779371330906,2.5023959642525
"PUF60",19.3,167,0.00620494909712417,2.50026915419607
"H1FX",19.24,168,0.00624210448093929,2.49815359387709
"MIR4749",19.24,169,0.0062792598647544,2.49604915554151
"MIR4647",19.2,170,0.00631641524856952,2.49395571363618
"EIF4A1",19.13,171,0.00635357063238463,2.49187314475816
"TUBA1B",19.08,172,0.00639072601619975,2.4898013276056
"RPL32",19.06,173,0.00642788140001486,2.48774014292987
"TPI1",19.06,174,0.00646503678382998,2.48568947348917
"SIX5",19.03,175,0.00650219216764509,2.48364920400339
"MIR150",18.93,176,0.00653934755146021,2.48161922111026
"ATF4",18.9,177,0.00657650293527532,2.47959941332269
"HNRNPAB",18.85,178,0.00661365831909044,2.47758967098736
"SNORA73B",18.82,179,0.00665081370290555,2.47558988624438
"MIRLET7A3",18.73,180,0.00668796908672067,2.47359995298809
"SLC29A2",18.64,181,0.00672512447053578,2.47161976682897
"FAM229A",18.62,182,0.0067622798543509,2.46964922505648
"ABHD11",18.58,183,0.00679943523816601,2.46768822660301
"MASCRNA",18.58,184,0.00683659062198113,2.46573667200876
"MCM7",18.58,185,0.00687374600579624,2.46379446338752
"AMIGO3",18.5,186,0.00691090138961136,2.46186150439341
"LOC101059948",18.5,187,0.00694805677342647,2.45993770018848
