"gene","top1cc_density","top1cc_rank","top1cc_empirical_p","top1cc_z"
"SNORA81",1.81,348,0.01293007356766,2.22830554045342
"SPDYE2",1.81,349,0.0129672289514751,2.22719180036517
"TOP1",1.81,350,0.0130043843352902,2.22608081608989
"APPBP2",1.8,351,0.0130415397191053,2.22497257265888
"GOLGA6C",1.8,352,0.0130786951029204,2.22386705522738
"HIST1H2BI",1.8,353,0.0131158504867355,2.22276424907324
"LOC390705",1.8,354,0.0131530058705506,2.22166413959553
"MIR4276",1.8,355,0.0131901612543658,2.2205667123132
"MIR4419B",1.8,356,0.0132273166381809,2.21947195286378
"OR2A1",1.8,357,0.013264472021996,2.21837984700206
"PRICKLE2-AS1",1.8,358,0.0133016274058111,2.2172903805988
"SNORD105",1.8,359,0.0133387827896262,2.2162035396395
"TMEM75",1.8,360,0.0133759381734413,2.21511931022309
"TRMT12",1.8,361,0.0134130935572564,2.21403767856078
"ADAMTS9-AS1",1.79,362,0.0134502489410716,2.21295863097474
"CLDN4",1.79,363,0.0134874043248867,2.21188215389701
"LOC388242",1.79,364,0.0135245597087018,2.21080823386824
"OLFML3",1.79,365,0.0135617150925169,2.20973685753656
"POLR2J2",1.79,366,0.013598870476332,2.20866801165639
