"gene","top1cc_density"
"ANKS4B",1.22
"ANKS6",1.24
"ANKUB1",1.25
"ANKZF1",1.28
"ANLN",1.25
"ANO1",1.3
"ANO1-AS2",1.26
"ANO10",1.17
"ANO2",1.15
"ANO3",1.13
"ANO4",1.18
"ANO5",1.1
"ANO6",1.21
"ANO7",1.31
"ANO8",1.13
"ANO9",1.12
"ANOS1",1.11
"ANP32A",1.31
"ANP32A-IT1",1.14
"ANP32AP1",1.06
"ANP32B",1.35
"ANP32C",0.93
"ANP32D",1.21
"ANP32E",1.36
"ANPEP",1.28
"ANTXR1",1.16
"ANTXR2",1.16
"ANTXRL",1.23
"ANTXRLP1",1.19
"ANXA1",1.1
"ANXA10",1.11
"ANXA11",1.2
"ANXA13",1.55
"ANXA2",1.22
"ANXA2P1",1.34
"ANXA2P2",1
"ANXA2P3",1.17
"ANXA2R",1.42
"ANXA3",1.14
"ANXA4",1.18
"ANXA5",1.14
"ANXA6",1.18
"ANXA7",1.2
"ANXA8",1.4
"ANXA8L1",1.37
"ANXA9",1.35
"AOAH",1.2
"AOAH-IT1",1.25
"AOC1",1.19
"AOC2",1.21
"AOC3",1.16
"AOC4P",1.21
"AOX1",1.17
"AOX3P-AOX2P",1.21
"AP1AR",1.17
"AP1B1",1.16
"AP1B1P1",1.26
"AP1G1",1.4
"AP1G2",1.28
"AP1M1",1.18
"AP1M2",1.18
"AP1S1",1.33
"AP1S2",1.11
"AP1S3",1.27
"AP2A1",1.17
"AP2A2",1.14
"AP2B1",1.12
"AP2M1",1.23
"AP2S1",1.28
"AP3B1",1.16
"AP3B2",1.23
"AP3D1",1.19
"AP3M1",1.17
"AP3M2",1.1
"AP3S1",1.13
"AP3S2",1.3
"AP4B1",1.77
"AP4B1-AS1",1.63
"AP4E1",1.38
"AP4M1",1.34
"AP4S1",1.27
"AP5B1",1.36
"AP5M1",1.13
"AP5S1",1.35
"AP5Z1",1.3
"APAF1",1.19
"APBA1",1.15
"APBA2",1.12
"APBA3",1.17
"APBB1",1.12
"APBB1IP",1.21
"APBB2",1.14
"APBB3",1.32
"APC",1.16
"APC2",1.18
"APCDD1",1.19
"APCDD1L",1.33
"APCDD1L-AS1",1.31
"APCS",1.29
"APEH",1.15
"APELA",1.14
"APEX1",1.32
"APEX2",1.2
"APH1A",1.5
"APH1B",1.21
"API5",1.16
"APIP",1.19
"APITD1-CORT",1.17
"APLF",1.12
"APLN",1.21
"APLNR",1.18
"APLP1",1.16
"APLP2",1.15
"APMAP",1.25
"APOA1",1.1
"APOA1-AS",1.17
"APOA2",1.31
"APOA4",1.18
"APOA5",1.02
"APOB",1.2
"APOBEC1",1.16
"APOBEC2",1.24
"APOBEC3A",1.15
"APOBEC3A_B",1.23
"APOBEC3B",1.33
"APOBEC3B-AS1",1.33
"APOBEC3C",1.26
"APOBEC3D",1.22
"APOBEC3F",1.18
"APOBEC3G",1.19
"APOBEC3H",1.11
"APOBEC4",1.15
"APOBR",1.3
"APOC1",1.21
"APOC1P1",1.13
"APOC2",1.26
"APOC3",1.06
"APOC4",1.15
"APOC4-APOC2",1.2
"APOD",1.37
"APOE",1.2
"APOF",1.26
"APOH",1.18
"APOL1",1.17
"APOL2",1.17
"APOL3",1.17
"APOL4",1.15
"APOL5",1.16
"APOL6",1.18
"APOLD1",1.17
"APOM",1.04
"APOO",1.15
"APOOL",1.09
"APOOP5",1.23
"APOPT1",1.34
"APP",1.18
"APPBP2",1.8
"APPL1",1.13
"APPL2",1.22
"APRT",2.05
"APTR",1.2
"APTX",1.1
"AQP1",1.2
"AQP10",1.3
"AQP11",1.36
"AQP12A",1.37
"AQP12B",1.34
"AQP2",1.29
"AQP3",1.15
"AQP4",1.06
"AQP4-AS1",1.13
"AQP5",1.24
"AQP6",1.33
"AQP7",1.17
"AQP7P1",1.41
"AQP7P3",1.37
"AQP8",1.27
"AQP9",1.1
"AQR",1.12
"AR",1.12
"ARAF",1.19
"ARAP1",1.28
"ARAP2",1.07
"ARAP3",1.19
"ARC",1.16
"ARCN1",1.27
"AREG",1.61
"AREL1",1.26
"ARF1",1.22
"ARF3",1.3
"ARF4",1.19
"ARF4-AS1",1.08
"ARF5",1.15
"ARF6",1.27
"ARFGAP1",1.25
"ARFGAP2",1.47
"ARFGAP3",1.19
"ARFGEF1",1.14
"ARFGEF2",1.21
"ARFGEF3",1.19
"ARFIP1",1.16
"ARFIP2",1.19
"ARFRP1",1.33
"ARG1",1.21
"ARG2",1.25
"ARGFX",1.24
"ARGFXP2",1.16
"ARGLU1",1.11
"ARHGAP1",1.27
"ARHGAP10",1.22
"ARHGAP11A",1.21
"ARHGAP11B",1.04
"ARHGAP12",1.22
"ARHGAP15",1.13
"ARHGAP17",1.28
