"gene","rloop_density"
"ARFIP2",4.94
"ARFRP1",6.82
"ARG1",1.06
"ARG2",1.06
"ARGFX",0.94
"ARGFXP2",1.89
"ARGLU1",1.41
"ARHGAP1",6.69
"ARHGAP10",1.09
"ARHGAP11A",1.32
"ARHGAP11B",1.67
"ARHGAP12",1.09
"ARHGAP15",0.81
"ARHGAP17",1.2
"ARHGAP18",0.87
"ARHGAP19",1.18
"ARHGAP19-SLIT1",1.05
"ARHGAP20",0.87
"ARHGAP21",1.02
"ARHGAP22",0.99
"ARHGAP23",0.99
"ARHGAP24",0.82
"ARHGAP25",0.81
"ARHGAP26",1.25
"ARHGAP26-AS1",1.03
"ARHGAP26-IT1",1.06
"ARHGAP27",2.92
"ARHGAP27P1",12.54
"ARHGAP27P1-BPTFP1-KPNA2P3",3.24
"ARHGAP28",0.88
"ARHGAP29",0.96
"ARHGAP30",2.28
"ARHGAP31",0.88
"ARHGAP31-AS1",0.91
"ARHGAP32",1.08
"ARHGAP33",2.58
"ARHGAP35",2.8
"ARHGAP36",0.92
"ARHGAP39",1.49
"ARHGAP4",2.59
"ARHGAP40",1
"ARHGAP42",0.94
"ARHGAP44",1.08
"ARHGAP45",6.09
"ARHGAP5",1.3
"ARHGAP5-AS1",4.16
"ARHGAP6",0.85
"ARHGAP8",3.2
"ARHGAP9",0.86
"ARHGDIA",28.59
"ARHGDIB",0.85
"ARHGDIG",4.72
"ARHGEF1",4.82
"ARHGEF10",1.6
"ARHGEF10L",2.14
"ARHGEF11",1.4
"ARHGEF12",1.13
"ARHGEF15",0.88
"ARHGEF16",6.42
"ARHGEF17",2.34
"ARHGEF18",2.31
"ARHGEF19",3.42
"ARHGEF2",2.07
"ARHGEF25",1.37
"ARHGEF26",1.21
"ARHGEF26-AS1",0.78
"ARHGEF28",1.06
"ARHGEF3",1.05
"ARHGEF3-AS1",1.11
"ARHGEF33",0.86
"ARHGEF34P",1.48
"ARHGEF35",1.37
"ARHGEF37",1.01
"ARHGEF38",0.85
"ARHGEF38-IT1",0.77
"ARHGEF39",6.87
"ARHGEF4",1.36
"ARHGEF40",2.18
"ARHGEF5",1.85
"ARHGEF6",0.82
"ARHGEF7",1.31
"ARHGEF7-AS1",0.95
"ARHGEF7-AS2",0.9
"ARHGEF9",1.16
"ARHGEF9-IT1",1.69
"ARID1A",3.21
"ARID1B",1.31
"ARID2",1.21
"ARID3A",2.53
"ARID3B",1.1
"ARID3C",0.8
"ARID4A",1.07
"ARID4B",1.4
"ARID5A",1.33
"ARID5B",1.14
"ARIH1",1.36
"ARIH2",2.53
"ARIH2OS",2.12
"ARL1",1.3
"ARL10",1.1
"ARL11",1.17
"ARL13A",0.94
"ARL13B",0.91
"ARL14",0.5
"ARL14EP",1.17
"ARL14EPL",0.79
"ARL15",0.93
"ARL16",2.62
"ARL17A",1.6
"ARL17B",0.74
"ARL2",2.22
"ARL2-SNX15",1.64
"ARL2BP",1.67
"ARL3",2.08
"ARL4A",2.67
"ARL4C",1.71
"ARL4D",1.37
"ARL5A",1.52
"ARL5B",1.36
"ARL5C",1.12
"ARL6",0.8
"ARL6IP1",4.29
"ARL6IP4",17.18
"ARL6IP5",1
"ARL6IP6",1.4
"ARL8A",6.98
"ARL8B",1.23
"ARL9",1.38
"ARMC1",1.36
"ARMC10",2.1
"ARMC12",0.96
"ARMC2",0.9
"ARMC2-AS1",0.83
"ARMC3",0.84
"ARMC4",0.79
"ARMC4P1",0.91
"ARMC5",2.58
"ARMC6",2.16
"ARMC7",2.98
"ARMC8",1.27
